Date,Description,Type,Amount,Balance
--- Robert M. Sanderson - Account ***-***-5512 - 60-day statement ---,,,,"$18,420.55"
2026-02-15,Direct Deposit - Vector Atlas Software,DEPOSIT,7708.33,26128.88
2026-02-18,POS Whole Foods Charlotte,DEBIT,-167.42,25961.46
2026-02-20,Mortgage Auto-Pay Wells Fargo,DEBIT,-2845.00,23116.46
2026-02-22,Transfer to Savings,DEBIT,-1500.00,21616.46
2026-02-28,Direct Deposit - Vector Atlas Software,DEPOSIT,7708.33,29324.79
2026-03-02,POS Trader Joe's,DEBIT,-142.80,29181.99
2026-03-05,Duke Energy Bill Pay,DEBIT,-218.45,28963.54
2026-03-15,Direct Deposit - Vector Atlas Software,DEPOSIT,7708.33,36671.87
2026-03-18,POS Whole Foods Charlotte,DEBIT,-189.22,36482.65
2026-03-20,Mortgage Auto-Pay Wells Fargo,DEBIT,-2845.00,33637.65
2026-03-22,Transfer to Savings,DEBIT,-1500.00,32137.65
2026-03-28,Direct Deposit - Vector Atlas Software,DEPOSIT,7708.33,39845.98
2026-04-01,Vanguard 529 Auto-Contribution,DEBIT,-500.00,39345.98
2026-04-15,Direct Deposit - Vector Atlas Software,DEPOSIT,7708.33,47054.31
