Date,Description,Type,Amount,Balance
--- Maria Delgado-Chen & David L. Chen - Account ***-***-3741 - 60-day statement ---,,,,"$24,120.62"
2026-02-15,DD - NorthSpan Health (Maria),DEPOSIT,3413.42,27534.04
2026-02-15,DD - Vector Atlas (David),DEPOSIT,3490.81,31024.85
2026-02-20,Rent - Glenwood Apts,DEBIT,-2350.00,28674.85
2026-02-22,Whole Foods,DEBIT,-188.40,28486.45
2026-02-28,DD - NorthSpan Health (Maria),DEPOSIT,3413.42,31899.87
2026-02-28,DD - Vector Atlas (David),DEPOSIT,3490.81,35390.68
2026-03-12,529 Education Savings Auto,DEBIT,-400.00,34990.68
2026-03-15,DD - NorthSpan Health (Maria),DEPOSIT,3413.42,38404.10
2026-03-15,DD - Vector Atlas (David),DEPOSIT,3490.81,41894.91
2026-03-20,Rent - Glenwood Apts,DEBIT,-2350.00,39544.91
2026-03-28,DD - NorthSpan Health (Maria),DEPOSIT,3413.42,42958.33
2026-03-28,DD - Vector Atlas (David),DEPOSIT,3490.81,46449.14
2026-04-04,Transfer to Savings - Down Pmt,DEBIT,-8500.00,37949.14
2026-04-15,DD - NorthSpan Health (Maria),DEPOSIT,3413.42,41362.56
2026-04-15,DD - Vector Atlas (David),DEPOSIT,3490.81,44853.37
