Date,Description,Type,Amount,Balance
--- Devon Washington-Pierce - Account ***-***-9921 - 60-day statement ---,,,,"$8,420.18"
2026-02-15,Direct Deposit - Holloway-Pine Marketing,DEPOSIT,4791.67,13211.85
2026-02-18,POS Harris Teeter,DEBIT,-94.62,13117.23
2026-02-20,Rent Pmt - Ardmore Mgmt,DEBIT,-1850.00,11267.23
2026-02-25,Transfer from Savings - Devon Pierce,DEPOSIT,1200.00,12467.23
2026-02-28,Direct Deposit - Holloway-Pine Marketing,DEPOSIT,4791.67,17258.90
2026-03-02,Geico Auto Pmt,DEBIT,-188.50,17070.40
2026-03-12,DEPOSIT - Cash/Check #2218,DEPOSIT,31400.00,48470.40
2026-03-15,Direct Deposit - Holloway-Pine Marketing,DEPOSIT,4791.67,53262.07
2026-03-18,Whole Foods,DEBIT,-128.40,53133.67
2026-03-20,Rent Pmt - Ardmore Mgmt,DEBIT,-1850.00,51283.67
2026-03-28,Direct Deposit - Holloway-Pine Marketing,DEPOSIT,4791.67,56075.34
2026-04-01,Geico Auto Pmt,DEBIT,-188.50,55886.84
2026-04-08,Transfer to Savings - earnest money,DEBIT,-12000.00,43886.84
2026-04-15,Direct Deposit - Holloway-Pine Marketing,DEPOSIT,4791.67,48678.51
