Date,Description,Type,Amount,Balance
--- Connor M. Yates & Brianna Yates - Account ***-***-6628 - 60-day statement ---,,,,"$6,840.22"
2026-02-15,DD - Pinedale Logistics (Connor),DEPOSIT,1852.84,8693.06
2026-02-15,ACH Deposit - 1099 Project (Brianna),DEPOSIT,1850.00,10543.06
2026-02-20,Rent - 5577 Fern Hollow,DEBIT,-1485.00,9058.06
2026-02-28,DD - Pinedale Logistics (Connor),DEPOSIT,1852.84,10910.90
2026-03-01,ACH Deposit - LactationCo (Brianna),DEPOSIT,2400.00,13310.90
2026-03-15,DD - Pinedale Logistics (Connor),DEPOSIT,1852.84,15163.74
2026-03-15,ACH Deposit - Hospital Consult (Brianna),DEPOSIT,1800.00,16963.74
2026-03-20,Rent - 5577 Fern Hollow,DEBIT,-1485.00,15478.74
2026-03-28,DD - Pinedale Logistics (Connor),DEPOSIT,1852.84,17331.58
2026-04-02,GIFT DEPOSIT - From parents (cleared),DEPOSIT,14000.00,31331.58
2026-04-08,ACH Deposit - LactationCo (Brianna),DEPOSIT,2200.00,33531.58
2026-04-15,DD - Pinedale Logistics (Connor),DEPOSIT,1852.84,35384.42
