Date,Time_UTC,Direction,Type,Counterparty,Amount_USD,Channel,Balance_After
2026-05-14,03:42:55,OUT,Wire transfer,Cayman National Bank Acct 88142-7720 / Beneficiary: "G. Calloway Personal",42800.00,wire,15422.18
2026-05-13,21:08:31,IN,Merchant payment,(payer name redacted in mock),8400.00,merchant,58222.18
2026-05-13,15:30:22,IN,Merchant payment,(payer name redacted in mock),7720.00,merchant,49822.18
2026-05-13,11:18:08,IN,Merchant payment,(payer name redacted in mock),9200.00,merchant,42102.18
2026-05-13,09:55:42,IN,Merchant payment,(payer name redacted in mock),8740.00,merchant,32902.18
2026-05-12,22:42:18,OUT,Wire transfer,Cayman National Bank Acct 88142-7720,46000.00,wire,24162.18
2026-05-12,18:08:55,IN,Merchant payment,(payer name redacted in mock),9100.00,merchant,70162.18
2026-05-12,11:30:11,IN,Merchant payment,(payer name redacted in mock),7400.00,merchant,61062.18
2026-05-12,09:08:42,IN,Merchant payment,(payer name redacted in mock),8200.00,merchant,53662.18
2026-05-11,22:55:08,OUT,Wire transfer,Cayman National Bank Acct 88142-7720,42200.00,wire,45462.18
2026-05-11,18:42:31,IN,Merchant payment,(payer name redacted in mock),9300.00,merchant,87662.18
2026-05-11,14:30:22,IN,Merchant payment,(payer name redacted in mock),7600.00,merchant,78362.18
2026-05-11,10:18:55,IN,Merchant payment,(payer name redacted in mock),8800.00,merchant,70762.18
2026-05-11,08:08:11,IN,Merchant payment,(payer name redacted in mock),9400.00,merchant,61962.18
2026-05-10,21:42:08,OUT,Wire transfer,Cayman National Bank Acct 88142-7720,40000.00,wire,52562.18
2026-05-10,15:30:55,IN,Merchant payment,(payer name redacted in mock),9000.00,merchant,92562.18
2026-05-10,11:18:31,IN,Merchant payment,(payer name redacted in mock),8400.00,merchant,83562.18
2026-05-09,22:08:42,IN,Merchant payment,(payer name redacted in mock),9100.00,merchant,75162.18
