Date,Time_UTC,Direction,Type,Counterparty,Amount_USD,Channel,Balance_After,Note
2026-05-12,21:14:08,IN,Cash deposit at FNBC partner,FNBC Memphis TN branch,4940.00,partner-network,7842.18,
2026-05-12,07:22:14,OUT,P2P transfer,Linda Tate (spouse),800.00,internal,2902.18,
2026-05-11,22:08:31,IN,Cash deposit at FNBC partner,FNBC Knoxville TN branch,4880.00,partner-network,3702.18,
2026-05-11,15:30:02,OUT,Bill pay,Pilot Flying J Fuel,1250.00,outbound,-1177.82,
2026-05-10,19:44:17,IN,Cash deposit at FNBC partner,FNBC Memphis TN branch,4900.00,partner-network,72.18,
2026-05-10,09:10:55,OUT,Bill pay,Volvo Truck Center Memphis (parts),3220.00,outbound,-4827.82,
2026-05-09,21:55:08,IN,Cash deposit at FNBC partner,FNBC Atlanta GA branch,4860.00,partner-network,-1607.82,
2026-05-09,14:18:23,OUT,P2P transfer,Linda Tate (spouse),600.00,internal,-6467.82,
2026-05-08,20:42:31,IN,Cash deposit at FNBC partner,FNBC Dallas TX branch,4920.00,partner-network,-5867.82,
2026-05-08,11:33:18,OUT,Bill pay,Pilot Flying J Fuel,1180.00,outbound,-10787.82,
2026-05-07,22:08:45,IN,Cash deposit at FNBC partner,FNBC Atlanta GA branch,4810.00,partner-network,-9607.82,
2026-05-07,15:22:09,OUT,Bill pay,Pilot Flying J Fuel,1090.00,outbound,-14417.82,
2026-05-06,18:30:12,IN,Cash deposit at FNBC partner,FNBC Memphis TN branch,4840.00,partner-network,-13327.82,
2026-05-06,13:08:55,IN,ACH inbound,Schneider Logistics LLC (load payment),5400.00,ach,-18167.82,
